CellIdx,Sentence
756,"{phillip, the price risk.  this is my best guess.  i will get back to you with more., the risk is that they have built in enough margin to give them room to manage , enough they will go to the wholesale market to hedge and lock in a profit.  , i know the answer to your questions but i want to get the exact details from , him.  basically, they will offer energy  online at a fixed price or some ,  i emailed your question to a friend that works for the new company.  i think , scott,, price that undercuts the current provider.  then once their sales are large }"
757,"{phillip,  i might stop by this friday.,  can guess your answer.,  i will call you tomorrow to discuss items from the office.  do you need mary , to come in on any more fridays?  i think i ,  i would like gary to direct wade on renovation tasks and you can give him , email me his number i will call him.  ,  i want to speak to wade myself.  he can call me at work or home. or if you , lucy,, work orders for normal maintenance.}"
758,{http://ectpdx-sunone.ect.enron.com/~theizen/wsccnav/}
759,"{all of that, it is probably close enough and better than your alternatives on , the generation side., on the load side i think that i would simply use caiso actual load.  while , they don't split out np15 from sp15, i think that using the actual number is , better than the ""scheduled"" number.  the utilities play lots of game on the , load side, usually under-scheduling depending on price., demand goes up with each additional gw of gas-generated electricity, , others up here once you have it finished.  i'd like to see how much gas , schedule 300 mw of load and sc transfers or imports of 300 mw.  having said , especially compared to all gas consumption.  i was surprised by how small the , ueg consumption was compared to other uses.  if it is the largest marginal , consumer then it is obviously a different story., let's talk., i think the presentation looks good.  it would be useful to share this with , if they have 1500 mw of load and 1200 mw of generation, they may simply , munis such as smud who only schedule their net load to the caiso.  that is, , 	, ---------------------- forwarded by phillip k allen/hou/ect on 06/12/2000 , 10:55 am ---------------------------,    , 	, will miss that.  you may also miss generation of the northern california , 	from:  tim belden                           06/11/2000 07:26 pm, cc:  , 	, wscc data, which is dicey and we don't have until july 1999, and the cemms, , which comes on a delay, are ultimately our best sources.  for your purposes , the caiso may suffice.  i think that you probably know this already, but , there can be a siginificant difference between ""scheduled"" and ""actual"" , generation.  you are pulling ""scheduled.""  if someone doesn't schedule their , generation and then generates, either instructed or uninstructed, then you , it is a shame that the caiso doesn't provide actual generation by unit.  the }"
760,{check out np gen & load.  (amw)}
761,"{http://ecthou-webcl1.nt.ect.enron.com/gas/,        , cc:  , call brian hoskins for a password, all the gas reports are under west desk, 	, ---------------------- forwarded by phillip k allen/hou/ect on 06/06/2000 , 	, 	,    , 12:27 pm ---------------------------, 	from:  phillip k allen                           06/06/2000 10:26 am}"
762,"{all the gas reports are under west desk,        , http://ecthou-webcl1.nt.ect.enron.com/gas/, cc:  , 	, call brian hoskins for a password, 	, 	,    , 12:26 pm ---------------------------, ---------------------- forwarded by phillip k allen/hou/ect on 06/06/2000 , 	from:  phillip k allen                           06/06/2000 10:26 am}"
763,"{http://ecthou-webcl1.nt.ect.enron.com/gas/,        , all the gas reports are under west desk, call brian hoskins for a password}"
764,"{phillip, my location is 3210b.,  pw synergi, notes:, felix,,  login pallen, network:,  pw ke7davis}"
765,"{please click the following to go to the web site for detail., =60, http://ios.ets.enron.com/infopostings/shared/et_noncritical_notice.asp?company, 8:59am, 2237, allocation - socal needles, 	jane.m.tholt@enron.com, mike.grigsby@enron.com, 12/13/2000 1:30:01 pm, the newest notice looks like:, transwestern pipeline co. posted new notice(s) since our last check at ,  capacity constraint, dec 13 2000  1:48pm, dec 14 2000  9:00am, dec 15 2000  }"
766,"{we can adjust office hours on another day., more convenient for collecting rent and showing open apartments., what do you think about being open until noon on saturday.  this might be ,   , phillip, a log on paper or on the computer.  the computer would be better for sending ,  click on this attachment to see the format to record expenses.  you can keep , lucy,, me updates.}"
767,"{jeff,,  i will respond to the offer on monday.  there is a $35 million expansion , adding 250 jobs in burnet.  i am tempted to hold for $3000/acre.  owner , financing would still work.   do you have an opinion?, phillip}"
768,"{he never misses, rain or shine.  sometimes we even hit the trails in memorial , phillip, sometime.  , i would like to hear more about your new job.  maybe we could grab lunch , road.  i would like to dust off my road bike and go for a ride some saturday., park on saturdays.   mountain biking is not as hard as a 50 mile trip on the , cyclist.  we have been riding to work twice a week for the last few months.  , maintenance.  you will be surprised to hear that hunter is a fanatical , riding keeps them busy.  they could use some of cole's coordination., what's your target?  the other two are doing well.  soccer, t-ball, and bike , we did have another girl in december, (evelyn grace).  three is it for us.  , email all is well with you.   that's great.  , like you have been busy.  congratulations on the new baby.  judging from your , i was glad to hear from you.  i hope we can put the past behind us.  sounds , al,, my fitness program is not as intense as yours right now.  i am just on }"
769,"{3         2,974    11,362, 2     1,500, 1        329       8,738, basin/0852   ques/clay basin    ques/clay basin, del:   nwpl/s of green river/clay   ques/clay basin/0852   ques/clay , gr rvr, rec:   ques/clay basin/0184   nwpl/opal 543  nwpl/opal   sumas      nwpl/s of , ($2,769)   ($273), volumes under each ticket and the p&l associated with each. , 106300   201756, deal #  251327                  159540                   265229         ,  , case there's something you want to do about it.  the columns below show the , appears we were both withdrawing and injecting from clay basin.  there may be , impact is very small, but i thought i'd bring it to your attention just in , an operational reason why this occurred that i'm not aware of, and the dollar , p&l  $29,503                ($15,960)                ($3,199)          , 4         6,741    12,349       1,439, 27         1,976, 5       19,052          3,183, detail on the tickets just for your info, plus i noticed three days where it , 29     1,591     , 28     1,751     , 26     3,284     , 25  23,934       8,695, 23       14,415          9,076, 22  10,667     , 30  20,242     , 21  17,930     , 18    9,294     , 17  17,464     , 16         6,979              235 , 15  35,226    , 14  30,451    , 13  30,863       2,680, 9            333, 20  10,796          771, the transport cost would pass through as storage costs.  anyway, here's the , $235,019.   , systematic sitara way of handling storage deals.  in an ideal world, it seems , i'll take care of it.., get with kim and the sitara people to change the mapping, let me know and , o.k. as is, so i'll know to ignore it in the future.  also, if you want me to , an issue, but i'll point it out and let you decide.  let me know if this is , to me.  remember that i do not know the northwest at all, so this may not be , i've noticed one thing on your intra-month transport p&l that looks strange , phillip--, cc:  , 	, 	from:  colleen sullivan                           05/30/2000 09:18 am, 	,    , 01:32 pm ---------------------------, ---------------------- forwarded by phillip k allen/hou/ect on 05/30/2000 , that you would map it the way you have it today, but during injection times, , on pg&e nw, it appears that pgen kingsgate is mapped to a malin citygate , curve instead of a kingsgate curve, resulting in a total transport loss of , 	, overall p&l.)  maybe there is a reason for this mapping or maybe it affects , i'm not sure of the best way to handle this since we don't really have a , losses; each time you are withdrawing, you will show big gains on transport.  , that any time you are injecting gas, these tickets will show transport , questar curve, which is substantially below nwpl points.  what this means is , withdrawals and the other four are injections.  clay basin is valued as a , different tickets in sitara for clay basin activity--one appears to be for , gdp-kingsgate.,  clay basin storage--this is really a fyi more than anything else--i see five ,   153771 from kingsgate to stanfield    ($     1,988),   231321  from kingsgate to malin     ($  38,705),   139197  from kingsgate to pgen malin    ($    8,271),   139196 from kingsgate to pgen/tuscarora   ($    4,024),   139195  from kingsgate to malin     ($182,030), #'s, paths and p&l impacts of each., something else somewhere that i am not seeing, but anyway, here are the deal ,  suggested fix:  change pgen kingsgate mapping from gdp-malin citygate to , (if the mapping were changed, it should just reallocate p&l--not change your }"
770,"{could work 5/hrs each friday for another month or so.  does $10/hr sound , phillip, fair?  we can apply it to the loan., 12 month payout would be $95/month.  your choice.  i would like it if you , if we add both balances together the total is $1,140.  i can spread it over 6 , mary,, or 12 months.  6 month payout would be $190/month.  }"
771,"{address:    http://ectpdx-sunone.ect.enron.com/~ctatham/navsetup/index.htm, id:   pallen, password:  westgasx}"
772,"{philllip, authorization on the account.  lets keep the office open until noon on , memorial day.,  i am going to be in seguin this saturday through monday.  we can talk about , lucy,, a unit for wade then.  i will call the bank again today to resolve }"
773,"{lucy,,  did you get set up on the checking account?  try and email me every day with , a note about what happened that day.,  just info about new vacancies or tenants and which apartments you and wade , worked on each day.  , phillip}"
774,"{3. route epng permian to todd richardson's book ft-new texas, phillip allen, call with questions. x37041,  pg&e citygate, thank you,,  nwpl rkymtn, 2.  route these products to nw basis:, 1.  set up a new book for frank ermis-nw basis,  malin, this note is authorization to make the following changes:}"
775,"{										, 										have improved formats, 										capacity shopper and daily activity reports, 										, 										[image], one to learn about an ofo because you were busy doing something else!, 										you choose the pipelines you want and we'll keep you posted via email on all , 										system notices: have system notices delivered to your desk. don't be the last , offers you better market intelligence!, competitors pick up, and how do their deals match up against yours? this , 										, the details! , 										, can affect gas prices!, 										coming soon:, 										a statistical snapshot on capacity release, 										, 										, 										don't miss this member-only opportunity to see a quick snapshot of the , activity on all 48 interstate gas pipelines., 												, 											this message has been sent to a select group of industry professionals, if , you do not wish to receive future notices, please reply to this e-mail with , ""remove"" in the subject line.	, 								copyright 2000 - capacitycenter.com, inc. - all rights reserved				, 										check out this example of a daily activity report., some transport at a good price or explore what releases are out there....it , 										daily activity reports: check out the deals that were done! what did your , 										, 	tori.kuykendall@enron.com, frank.ermis@enron.com, ---------------------- forwarded by phillip k allen/hou/ect on 05/22/2000 , 11:43 am ---------------------------, ""capacitycenter.com"" <marketing@capacitycenter.com> on 05/18/2000 02:55:43 pm, cc:  , 												, 												, 										[image]		, 										capacity shopper: learn about capacity release that is posted to bid. pick up , 											, 											natural gas transporation contract information and pipeline notices, 											delivered to your desktop, 												, 											, 			[image]									, 									http://www.capacitycenter.com 			, 										through the end of may bid week, 						[image]				register now and sign up for a free trial, 			[image]									, 						[image]						, 										 , 						[image]						, 			[image]									, 						[image]						, 				[image]								, 						[image]						, 						[image]						}"
